,0
aa,11.328678613306728
aaa,12.021825793866673
aaaaargh,13.4881628626601
aaaah,13.20048079020832
aaaarrgh,13.4881628626601
aaab,12.795015682100155
aaac,13.4881628626601
aaah,12.97733723889411
aaahhh,13.4881628626601
aaahs,13.4881628626601
aaargh,12.389550573991992
aag,11.290938285323882
aage,13.20048079020832
aah,13.20048079020832
aaja,11.121039248528485
aaker,13.4881628626601
aakhir,13.4881628626601
aaliyah,13.20048079020832
aames,11.121039248528485
aamir,9.904643924203992
aamirs,13.20048079020832
aan,13.4881628626601
aandhi,12.284190058334165
aankh,13.4881628626601
aankhen,12.640865002272898
aap,12.507333609648375
aapke,12.10186850154021
aapkey,13.4881628626601
aapko,13.4881628626601
aardman,11.947717821712953
aargh,12.389550573991992
aaron,9.556337229935775
aarp,13.4881628626601
aarti,12.389550573991992
aashish,13.4881628626601
aatish,12.795015682100155
aav,13.4881628626601
aavjo,13.4881628626601
aaya,13.4881628626601
ab,10.975857238683986
aback,11.031427089838797
abaddon,13.4881628626601
abadi,13.4881628626601
abagnale,13.4881628626601
abanazer,13.4881628626601
abandon,9.582828845382751
abandoned,8.201580752330486
abandoning,10.758133754839116
abandonment,10.923213505198564
abandons,10.310109032312155
abasement,13.4881628626601
abashed,13.20048079020832
abated,13.4881628626601
abattoir,12.640865002272898
abb,13.20048079020832
abba,12.507333609648375
abbas,11.36789932646001
abberline,12.021825793866673
abberton,12.97733723889411
abbey,10.674752145900065
abbie,11.81418642908843
abbot,10.825575035634648
abbots,13.4881628626601
abbott,9.45097671427795
abbreviate,13.4881628626601
abbreviated,11.753561807271995
abbreviation,12.97733723889411
abbu,13.4881628626601
abby,10.412387881432574
abc,9.15305314777397
abcd,11.878724950226001
abcds,12.97733723889411
abd,13.20048079020832
abdic,13.4881628626601
abdicated,12.97733723889411
abdication,12.188879878529841
abdomen,11.753561807271995
abdominal,13.20048079020832
abduct,11.408721320980264
abducted,9.807651658216681
abductee,12.284190058334165
abductees,13.20048079020832
abducting,11.542252713604787
abduction,10.132427855074702
abductions,11.753561807271995
abductor,12.10186850154021
abductors,12.389550573991992
abducts,11.947717821712953
abdul,11.878724950226001
abdullah,13.20048079020832
abdulov,12.795015682100155
abe,10.296315710179819
abel,10.21732729886119
abell,13.20048079020832
abercrombie,12.389550573991992
aberjhani,13.4881628626601
aberline,13.4881628626601
abernathy,13.4881628626601
aberrant,12.284190058334165
aberration,12.188879878529841
aberrations,13.4881628626601
aberystwyth,13.20048079020832
abet,12.97733723889411
abetted,11.254570641153007
abhay,11.290938285323882
abhi,13.4881628626601
abhijeet,13.4881628626601
abhishek,11.0032562128721
abhishekh,13.4881628626601
abhor,11.753561807271995
abhorred,12.640865002272898
abhorrence,12.640865002272898
abhorrent,11.0032562128721
abhors,12.640865002272898
abi,13.20048079020832
abide,11.542252713604787
abides,13.20048079020832
abiding,10.61648323777609
abigail,10.397120409301785
abilities,8.534685982403794
ability,7.3930893329330996
abis,11.878724950226001
abissi,13.4881628626601
abit,12.640865002272898
abject,10.873203084623903
abjectly,12.640865002272898
abkani,13.4881628626601
ablaze,11.878724950226001
able,6.326282294755026
abley,13.4881628626601
ablutions,13.4881628626601
ably,9.99165530119362
abm,13.20048079020832
abnegation,13.4881628626601
abner,10.923213505198564
abnormal,11.219479321341737
abnormalities,13.20048079020832
abnormality,13.4881628626601
abnormally,12.021825793866673
abo,11.254570641153007
aboard,9.355666534473624
abode,11.59104287777422
abolish,12.795015682100155
abolished,11.878724950226001
abolition,12.284190058334165
abolitionist,12.97733723889411
abolitionists,12.97733723889411
abominable,10.120867032673628
abominably,12.188879878529841
abomination,9.462811171924953
abominations,12.389550573991992
aboot,13.20048079020832
aboriginal,11.031427089838797
aboriginals,12.640865002272898
aborigine,11.947717821712953
aborigines,11.36789932646001
abort,11.495732697969895
aborted,10.674752145900065
aborting,13.4881628626601
abortion,9.36102847761501
abortionist,12.795015682100155
abortionists,13.4881628626601
abortions,11.408721320980264
abortive,12.507333609648375
aborts,12.507333609648375
abott,13.20048079020832
abou,13.20048079020832
abound,9.524180118301244
abounded,12.389550573991992
abounding,12.97733723889411
abounds,11.09026758986173
abouts,12.389550573991992
aboutthe,13.4881628626601
aboveground,13.4881628626601
abovementioned,13.20048079020832
abra,13.4881628626601
abracadabra,13.4881628626601
abraham,9.734744887408594
abrahams,11.947717821712953
abrahms,13.4881628626601
abrams,11.451280935399062
abrasive,10.674752145900065
abrasively,13.4881628626601
abre,12.389550573991992
abreast,13.20048079020832
abridge,13.4881628626601
abridged,11.947717821712953
abril,12.389550573991992
abroad,9.877244950015877
abrunhosa,13.4881628626601
abrupt,9.234917017852144
abruptly,9.29347032660372
abruptness,12.640865002272898
abs,11.408721320980264
absa,11.451280935399062
absalom,13.4881628626601
abscond,13.20048079020832
absconded,13.4881628626601
absconding,13.4881628626601
absconds,13.4881628626601
absence,8.734572671553735
absences,12.97733723889411
absent,9.022254744005517
absentee,12.021825793866673
absentmindedness,12.97733723889411
abshire,12.795015682100155
absinthe,13.20048079020832
abso,13.20048079020832
absolom,12.389550573991992
absoloutely,13.20048079020832
absolute,7.611361223872259
absolutely,6.2086141686075305
absolutes,12.97733723889411
absolution,11.947717821712953
absolutley,12.284190058334165
absolutly,12.10186850154021
absolve,12.640865002272898
absolved,12.389550573991992
absorb,10.526332140781792
absorbed,9.345028136268569
absorbing,9.530529345979902
absorbs,11.64233617216177
absorption,11.36789932646001
absoutley,13.4881628626601
abstain,12.97733723889411
abstained,13.20048079020832
abstaining,13.4881628626601
abstinence,11.696403393432046
abstract,9.75846141402591
abstracted,12.795015682100155
abstraction,11.81418642908843
abstractions,12.188879878529841
abstractly,13.20048079020832
abstruse,12.97733723889411
absulutely,13.4881628626601
absurd,7.849808193326355
absurder,13.4881628626601
absurdest,13.4881628626601
absurdism,12.021825793866673
absurdist,10.897895697214274
absurdities,10.949188991601826
absurdity,9.268655157483995
absurdly,10.324095274286895
absurdness,12.795015682100155
abt,13.4881628626601
abu,9.96180233804394
abunch,13.4881628626601
abundance,9.85938733261587
abundant,10.367267446152104
abundantly,11.408721320980264
abuse,8.249949420181771
abused,9.065314233465964
abuser,11.64233617216177
abusers,12.507333609648375
abuses,10.561423460593062
abusing,10.57944196609574
abusive,9.069322254863502
abut,12.10186850154021
abuzz,13.20048079020832
aby,13.4881628626601
abydos,12.97733723889411
abysmal,8.93428597105956
abysmally,11.185577769666056
abyss,10.526332140781792
abyssal,13.20048079020832
abyssmal,13.20048079020832
ac,11.542252713604787
acadamy,12.507333609648375
academia,12.284190058334165
academic,9.99165530119362
academically,12.640865002272898
academics,11.542252713604787
academies,12.97733723889411
academy,7.923642455337408
acadiana,13.4881628626601
acadmey,13.4881628626601
acapella,13.4881628626601
acapulco,12.284190058334165
acaso,13.4881628626601
acc,13.20048079020832
accede,13.20048079020832
accedes,13.4881628626601
accelerant,13.4881628626601
accelerate,12.188879878529841
accelerated,11.753561807271995
accelerates,12.795015682100155
accelerating,12.507333609648375
acceleration,13.20048079020832
accelerator,12.97733723889411
accent,7.385604268046532
accented,10.825575035634648
accents,8.289665831394275
accentuate,11.290938285323882
accentuated,11.36789932646001
accentuates,11.328678613306728
accentuating,12.10186850154021
accept,7.814839595488609
acceptability,13.20048079020832
acceptable,8.573059995285409
acceptably,12.284190058334165
acceptance,9.288457784780174
acceptation,12.97733723889411
accepted,8.565751801978685
accepting,9.433483556830431
accepts,9.308660492097694
accesible,13.4881628626601
access,8.980973085032215
accessed,12.284190058334165
accessibility,12.021825793866673
accessible,9.433483556830431
accessing,13.4881628626601
accession,13.20048079020832
accessories,11.947717821712953
accessorized,13.4881628626601
accessory,11.878724950226001
accident,7.695149254275957
accidental,9.807651658216681
accidentally,8.237636159948412
accidently,11.59104287777422
accidents,9.971654634486951
acclaim,9.868276280033117
acclaimed,9.25889898253863
acclaims,12.795015682100155
acclimate,12.97733723889411
acclimated,13.4881628626601
accolade,11.254570641153007
accolades,10.412387881432574
accommodate,10.975857238683986
accommodated,12.795015682100155
accommodates,12.640865002272898
accommodating,12.507333609648375
accommodation,12.188879878529841
accommodations,12.188879878529841
accomodate,13.4881628626601
accompanied,8.927292935568591
accompanies,10.21732729886119
accompaniment,10.71557414042032
accompaniments,13.4881628626601
accompanist,13.4881628626601
accompany,9.923336057216144
accompanying,9.877244950015877
accomplice,10.2692870377919
accomplices,11.121039248528485
accomplish,9.211496743644046
accomplished,8.623195807709765
accomplishes,10.4759012871549
accomplishing,11.495732697969895
accomplishment,9.904643924203992
accomplishments,10.694954853217585
accord,12.021825793866673
accordance,11.542252713604787
accorded,12.021825793866673
accordian,13.20048079020832
according,7.887274811166533
accordingly,10.42789206796854
accordion,12.284190058334165
accordionist,13.4881628626601
accords,13.20048079020832
accorsi,12.021825793866673
accost,12.97733723889411
accosted,11.36789932646001
accosts,12.507333609648375
account,8.2624161889469
accountability,11.81418642908843
accountable,11.495732697969895
accountancy,13.4881628626601
accountant,10.367267446152104
accountants,11.947717821712953
accounted,11.408721320980264
accounting,11.185577769666056
accounts,9.25889898253863
accouterments,12.97733723889411
accoutrements,12.640865002272898
accredited,12.795015682100155
accrue,13.20048079020832
accrued,12.188879878529841
acctually,13.4881628626601
accumulate,12.389550573991992
accumulated,11.947717821712953
accumulates,12.795015682100155
accumulating,12.97733723889411
accumulation,12.389550573991992
accuracies,12.97733723889411
accuracy,9.069322254863502
accurate,7.853373259490851
accurately,9.2444408993634
accursed,12.389550573991992
accusation,11.59104287777422
accusations,10.561423460593062
accusatory,13.20048079020832
accuse,10.674752145900065
accused,8.763729255845192
accuser,12.795015682100155
accusers,13.20048079020832
accuses,10.780112661557892
accusing,11.0032562128721
accusingly,13.4881628626601
accustomed,10.230066324638619
acd,13.4881628626601
ace,9.069322254863502
aced,12.795015682100155
acedemy,13.4881628626601
acension,13.4881628626601
acerbic,11.121039248528485
acerbically,13.4881628626601
acerola,11.495732697969895
aces,11.36789932646001
acetylene,13.20048079020832
acharya,12.10186850154021
ache,11.031427089838797
ached,12.507333609648375
acheron,13.20048079020832
aches,12.389550573991992
